generation,average_fitness,best_fitness,elite_average_fitness,fitness_scores
11,-198.1435163497925,-11.991373062133789,-81.41942405700684,"[-28.462215423583984, -134.3766326904297, -20.41787338256836, -325.820556640625, -636.00830078125, -323.7881774902344, -36.1560173034668, -124.51808166503906, -11.991373062133789, -339.89593505859375]"
12,-85.32315611839294,-6.372903347015381,-82.99370527267456,"[-14.662947654724121, -151.324462890625, -24.91815185546875, -17.14634132385254, -9.488152503967285, -131.75442504882812, -23.375883102416992, -6.372903347015381, -452.94049072265625, -21.247802734375]"
13,-219.2303446292877,-2.2984275817871094,-244.00460052490234,"[-332.7124328613281, -155.29676818847656, -5.067684650421143, -330.5750732421875, -23.558847427368164, -19.691665649414062, -671.4136352539062, -534.60693359375, -117.08197784423828, -2.2984275817871094]"
14,-143.43740744590758,-7.163033962249756,-15.610037803649902,"[-18.73809051513672, -12.481985092163086, -13.705076217651367, -7.163033962249756, -549.94921875, -126.44866943359375, -128.2800750732422, -123.44439697265625, -137.40919494628906, -316.75433349609375]"
15,-197.18370113372802,-7.963141441345215,-179.86166667938232,"[-22.42243003845215, -337.3009033203125, -92.68900299072266, -9.711760520935059, -11.434930801391602, -522.8532104492188, -638.0841674804688, -233.483642578125, -7.963141441345215, -95.8938217163086]"
16,-247.36003704071044,-8.604477882385254,-166.84740495681763,"[-325.09033203125, -8.604477882385254, -310.0726623535156, -9.650822639465332, -11.445538520812988, -111.56288146972656, -300.244873046875, -11.89728832244873, -673.2119750976562, -711.8195190429688]"
17,-253.29026165008545,-8.503744125366211,-318.1318769454956,"[-627.760009765625, -8.503744125366211, -448.4413146972656, -8.747928619384766, -30.899932861328125, -11.870031356811523, -246.70738220214844, -17.29316520690918, -76.15481567382812, -1056.5242919921875]"
18,-206.00366263389589,-5.126728057861328,-135.3278579711914,"[-135.2598419189453, -135.3958740234375, -12.989191055297852, -451.4344787597656, -5.126728057861328, -7.498847484588623, -638.0556640625, -168.35865783691406, -86.70323181152344, -419.214111328125]"
19,-148.28291521072387,-4.896459579467773,-61.323073387145996,"[-117.74968719482422, -4.896459579467773, -421.606689453125, -632.80029296875, -125.6520767211914, -14.850616455078125, -7.815709114074707, -9.066356658935547, -128.34405517578125, -20.047208786010742]"
20,-247.54080414772034,-7.540500164031982,-270.57154083251953,"[-420.6305847167969, -120.51249694824219, -20.94916534423828, -7.540500164031982, -1287.6876220703125, -547.3737182617188, -10.410892486572266, -33.55045700073242, -16.092960357666016, -10.65964412689209]"
21,-340.2579221725464,-11.708356857299805,-324.57738494873047,"[-129.1799774169922, -519.9747924804688, -714.5496826171875, -476.2397766113281, -325.7638854980469, -11.708356857299805, -145.1149139404297, -627.8336791992188, -128.4928741455078, -323.7212829589844]"
